seed	feature_set	auroc	auprc	tjur	pos_coefs	neg_coefs
1	all_features	0.993181439410546	0.976114638936762	0.803486350016072	60	63
2	all_features	0.993181439410546	0.976114638936762	0.803486350016072	60	63
3	all_features	0.995122582342874	0.982192132082672	0.82613221443851	76	79
4	all_features	0.994385333976573	0.979866625005509	0.817153461197545	69	73
5	all_features	0.993572650322347	0.977311679479689	0.807922448686286	65	67
6	all_features	0.992414806368138	0.973771088751156	0.794808075621758	53	59
7	all_features	0.994003771764389	0.97868602875937	0.812584592823195	67	69
8	all_features	0.993181439410546	0.976114638936762	0.803486350016072	60	63
9	all_features	0.994003771764389	0.97868602875937	0.812584592823195	67	69
10	all_features	0.993181439410546	0.976114638936762	0.803486350016072	60	63
11	all_features	0.994003771764389	0.97868602875937	0.812584592823195	67	69
12	all_features	0.992820490329367	0.975014375683291	0.799168528090862	55	61
13	all_features	0.993572650322347	0.977311679479689	0.807922448686286	65	67
14	all_features	0.994385333976573	0.979866625005509	0.817153461197545	69	73
15	all_features	0.993181439410546	0.976114638936762	0.803486350016072	60	63
16	all_features	0.992414806368138	0.973771088751156	0.794808075621758	53	59
17	all_features	0.994766457611502	0.981062593532022	0.821707293980236	71	74
18	all_features	0.994385333976573	0.979866625005509	0.817153461197545	69	73
19	all_features	0.992820490329367	0.975014375683291	0.799168528090862	55	61
20	all_features	0.994385333976573	0.979866625005509	0.817153461197545	69	73
21	all_features	0.993181439410546	0.976114638936762	0.803486350016072	60	63
22	all_features	0.994003771764389	0.97868602875937	0.812584592823195	67	69
23	all_features	0.992414806368138	0.973771088751156	0.794808075621758	53	59
24	all_features	0.992820490329367	0.975014375683291	0.799168528090862	55	61
25	all_features	0.994385333976573	0.979866625005509	0.817153461197545	69	73
26	all_features	0.992820490329367	0.975014375683291	0.799168528090862	55	61
27	all_features	0.994385333976573	0.979866625005509	0.817153461197545	69	73
28	all_features	0.995122582342874	0.982192132082672	0.82613221443851	76	79
29	all_features	0.994385333976573	0.979866625005509	0.817153461197545	69	73
30	all_features	0.994766457611502	0.981062593532022	0.821707293980236	71	74
